times,population,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
4487.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4537.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4555.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4568.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4596.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4603.0,0.7340570492322257,0.8657094594594595,0.9134615384615381,0.498286435786436,0.931034482758621,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4618.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4642.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4652.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4672.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4675.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4681.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4691.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4720.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4744.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4791.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4830.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4857.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4863.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4866.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4874.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4925.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4952.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
4980.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5012.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5014.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5035.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5038.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5101.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5110.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5137.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5156.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5181.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
5228.0,0.7258092172183809,0.8657094594594595,0.9134615384615381,0.498286435786436,0.9028213166144204,0.9193548387096774,0.49999999999999983,0.9523809523809522,0.9411764705882352,0.5378815968359909,0.45378151260504196,0.5726239976239975
