times,population,R0,R1,R2,R3,R4
825.0,0.7109527024813999,0.4892728877544936,0.5678928604445278,0.8001861240625954,0.8262214349967454,0.6408042602945078
827.0,0.7092395634392762,0.4811183396252523,0.5632758453189629,0.7917631122303576,0.8262214349967454,0.6408042602945078
828.0,0.7092395634392762,0.4811183396252523,0.5632758453189629,0.7917631122303576,0.8262214349967454,0.6408042602945078
836.0,0.7075222763607306,0.4728231958386102,0.5632758453189629,0.7917631122303576,0.8262214349967454,0.6408042602945078
838.0,0.7058049892821846,0.4728231958386102,0.5632758453189629,0.7917631122303576,0.8231269726933866,0.6408042602945078
841.0,0.7058049892821846,0.4728231958386102,0.5632758453189629,0.7917631122303576,0.8231269726933866,0.6408042602945078
842.0,0.7040835136985696,0.4643799244843492,0.5586206730435993,0.7832495303784182,0.8231269726933866,0.6408042602945078
853.0,0.7040835136985696,0.4643799244843492,0.5586206730435993,0.7832495303784182,0.8231269726933866,0.6408042602945078
854.0,0.7040835136985696,0.4643799244843492,0.5586206730435993,0.7832495303784182,0.8231269726933866,0.6408042602945078
855.0,0.700623643852385,0.4559366531300883,0.5539655007682361,0.7832495303784182,0.8200090674937908,0.6408042602945078
857.0,0.6988894269121557,0.4559366531300883,0.5539655007682361,0.7832495303784182,0.8168911622941942,0.6408042602945078
858.0,0.6988894269121557,0.4559366531300883,0.5539655007682361,0.7832495303784182,0.8168911622941942,0.6408042602945078
859.0,0.6954036941096015,0.43840062800970014,0.5445762549925031,0.7832495303784182,0.8168911622941942,0.6408042602945078
861.0,0.6936564486470147,0.43840062800970014,0.5445762549925031,0.7832495303784182,0.8137613110976645,0.6408042602945078
865.0,0.6919092031844276,0.43840062800970014,0.5445762549925031,0.7832495303784182,0.8137613110976645,0.6334386940842258
866.0,0.6901619577218407,0.43840062800970014,0.5445762549925031,0.7832495303784182,0.8137613110976645,0.6260731278739445
867.0,0.6884147122592538,0.42963261544950615,0.5445762549925031,0.7832495303784182,0.8137613110976645,0.6260731278739445
870.0,0.6884147122592538,0.42963261544950615,0.5445762549925031,0.7832495303784182,0.8137613110976645,0.6260731278739445
876.0,0.6866585522790009,0.42963261544950615,0.5445762549925031,0.7832495303784182,0.8106071974887591,0.6260731278739445
877.0,0.6866585522790009,0.42963261544950615,0.5445762549925031,0.7832495303784182,0.8106071974887591,0.6260731278739445
883.0,0.684897889324439,0.42086460288931227,0.5445762549925031,0.7745467578186578,0.8106071974887591,0.6260731278739445
888.0,0.684897889324439,0.42086460288931227,0.5445762549925031,0.7745467578186578,0.8106071974887591,0.6260731278739445
889.0,0.6831326885787574,0.42086460288931227,0.5445762549925031,0.7745467578186578,0.8074407631235685,0.6260731278739445
890.0,0.6813674878330759,0.42086460288931227,0.5445762549925031,0.7745467578186578,0.8042743287583783,0.6260731278739445
891.0,0.6796022870873945,0.42086460288931227,0.5398408092969161,0.7745467578186578,0.8011078943931879,0.6260731278739445
892.0,0.6796022870873945,0.42086460288931227,0.5398408092969161,0.7745467578186578,0.8011078943931879,0.6260731278739445
893.0,0.6778324894647708,0.42086460288931227,0.5398408092969161,0.7745467578186578,0.8011078943931879,0.6186198763516361
916.0,0.6778324894647708,0.42086460288931227,0.5398408092969161,0.7745467578186578,0.8011078943931879,0.6186198763516361
